jogoId,num,fase,rodada,grupo,dataHora,status,timeCasa,timeVisitante,golsCasa,golsVisitante
ec9a9043-f83e-497e-907c-f0d58a78695a,,GRUPOS,Matchday 11,Group H,2026-06-21T12:00:00.000Z,ENCERRADO,Spain,Saudi Arabia,4,0
1be19345-5d2c-4123-a169-46cadcbc7ff2,,GRUPOS,Matchday 11,Group G,2026-06-21T15:00:00.000Z,ENCERRADO,Belgium,Iran,0,0
e3dca7c9-b2cc-4ad4-b02c-602ad4e61091,,GRUPOS,Matchday 11,Group H,2026-06-21T18:00:00.000Z,ENCERRADO,Uruguay,Cape Verde,2,2
ca17b700-6fcf-4698-a628-770228b859bf,,GRUPOS,Matchday 11,Group G,2026-06-21T21:00:00.000Z,ENCERRADO,New Zealand,Egypt,1,3
609c6c86-9a27-4c77-8f72-b0fa878924a9,,GRUPOS,Matchday 12,Group J,2026-06-22T13:00:00.000Z,ENCERRADO,Argentina,Austria,2,0
e322a9b7-1a86-4fef-8d1e-276b8e2d438d,,GRUPOS,Matchday 12,Group I,2026-06-22T17:00:00.000Z,ENCERRADO,France,Iraq,3,0
6488ec1b-cd97-409f-83ce-24befb4852be,,GRUPOS,Matchday 12,Group I,2026-06-22T20:00:00.000Z,ENCERRADO,Norway,Senegal,3,2
c1710c13-a884-47db-b770-4d0d7cf4b0f5,,GRUPOS,Matchday 12,Group J,2026-06-22T23:00:00.000Z,ENCERRADO,Jordan,Algeria,1,2
6990d81d-87d8-41b1-aea5-b6fbcfafcf7b,,GRUPOS,Matchday 13,Group K,2026-06-23T13:00:00.000Z,ENCERRADO,Portugal,Uzbekistan,5,0
c5771b35-3695-40b7-a63f-1be736f9d685,,GRUPOS,Matchday 13,Group L,2026-06-23T16:00:00.000Z,ENCERRADO,England,Ghana,0,0
a5897071-fca1-470c-b1f4-50ff34a5ff80,,GRUPOS,Matchday 13,Group L,2026-06-23T19:00:00.000Z,ENCERRADO,Panama,Croatia,0,1
6038b570-f0a1-4247-9752-82e48da6649f,,GRUPOS,Matchday 13,Group K,2026-06-23T22:00:00.000Z,ENCERRADO,Colombia,DR Congo,1,0
e4d4af35-c9e0-4d1b-89b7-e72893e5642d,,GRUPOS,Matchday 14,Group B,2026-06-24T15:00:00.000Z,ENCERRADO,Bosnia & Herzegovina,Qatar,3,1
f3d0c2c2-ce6a-47a7-8a8d-9268cc90bb61,,GRUPOS,Matchday 14,Group B,2026-06-24T15:00:00.000Z,ENCERRADO,Switzerland,Canada,2,1
702d0496-83e0-461d-82e9-e335698fca9e,,GRUPOS,Matchday 14,Group C,2026-06-24T18:00:00.000Z,ENCERRADO,Scotland,Brazil,0,3
6a824c8c-e1be-4339-acc3-3279deec17ad,,GRUPOS,Matchday 14,Group C,2026-06-24T18:00:00.000Z,ENCERRADO,Morocco,Haiti,4,2
52a29ff1-0db3-48b4-921f-1aa0f8940766,,GRUPOS,Matchday 14,Group A,2026-06-24T21:00:00.000Z,ENCERRADO,Czech Republic,Mexico,0,3
